,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,passed_test,stimulus,type,button_pressed,answer,stimNum,topic,speaker,form,response,correct,Gender,Native_Speaker,Music_Ability,Age,Mobile
107,6153,audio-button-response,36,298680,0.0-9.0-5.0,14172,group3,yes,prosody_paired_samples/NimishP/IR_Literal_back.wav,,0,first,2,back,Nimish,indirect,first,1,Male,Yes,4,21,No
108,5604,audio-button-response,37,304284,0.0-9.0-6.0,14172,group3,yes,prosody_paired_samples/NimishP/IR_Literal_box.wav,,0,first,3,box,Nimish,modal,first,1,Male,Yes,4,21,No
109,5629,audio-button-response,38,309914,0.0-9.0-7.0,14172,group3,yes,prosody_paired_samples/NimishP/Literal_IR_office.wav,,0,second,6,office,Nimish,indirect,first,0,Male,Yes,4,21,No
110,5823,audio-button-response,39,315737,0.0-9.0-8.0,14172,group3,yes,prosody_paired_samples/NimishP/IR_Literal_Spanish.wav,,0,first,10,spanish,Nimish,modal,first,1,Male,Yes,4,21,No
111,6360,audio-button-response,40,322098,0.0-9.0-9.0,14172,group3,yes,prosody_paired_samples/NimishP/IR_Literal_laptop.wav,,0,first,5,laptop,Nimish,indirect,first,1,Male,Yes,4,21,No
112,5997,audio-button-response,41,328095,0.0-9.0-10.0,14172,group3,yes,prosody_paired_samples/NimishP/Literal_IR_soup.wav,,1,second,9,soup,Nimish,indirect,second,1,Male,Yes,4,21,No
113,4361,audio-button-response,42,332456,0.0-9.0-11.0,14172,group3,yes,prosody_paired_samples/NimishP/Literal_IR_door.wav,,1,second,4,door,Nimish,modal,second,1,Male,Yes,4,21,No
114,6223,audio-button-response,43,338680,0.0-10.0-0.0,14172,group3,yes,prosody_paired_samples/KarenL/IR_literal_piano.wav,,1,first,8,piano,Karen,modal,second,0,Male,Yes,4,21,No
115,6378,audio-button-response,44,345058,0.0-10.0-1.0,14172,group3,yes,prosody_paired_samples/KarenL/IR_literal_office.wav,,0,first,6,office,Karen,indirect,first,1,Male,Yes,4,21,No
116,11970,audio-button-response,45,357028,0.0-10.0-2.0,14172,group3,yes,prosody_paired_samples/KarenL/IR_literal_Spanish.wav,,1,first,10,spanish,Karen,modal,second,0,Male,Yes,4,21,No
117,5339,audio-button-response,46,362368,0.0-10.0-3.0,14172,group3,yes,prosody_paired_samples/KarenL/literal_IR_box.wav,,1,second,3,box,Karen,modal,second,1,Male,Yes,4,21,No
118,4513,audio-button-response,47,366882,0.0-10.0-4.0,14172,group3,yes,prosody_paired_samples/KarenL/literal_IR_soup.wav,,1,second,9,soup,Karen,indirect,second,1,Male,Yes,4,21,No
119,5373,audio-button-response,48,372255,0.0-10.0-5.0,14172,group3,yes,prosody_paired_samples/KarenL/IR_literal_back.wav,,0,first,2,back,Karen,indirect,first,1,Male,Yes,4,21,No
120,6089,audio-button-response,49,378345,0.0-10.0-6.0,14172,group3,yes,prosody_paired_samples/KarenL/literal_IR_car.wav,,0,second,1,car,Karen,indirect,first,0,Male,Yes,4,21,No
121,5790,audio-button-response,50,384135,0.0-10.0-7.0,14172,group3,yes,prosody_paired_samples/KarenL/IR_literal_temp.wav,,1,first,12,temperature,Karen,modal,second,0,Male,Yes,4,21,No
122,5689,audio-button-response,51,389824,0.0-10.0-8.0,14172,group3,yes,prosody_paired_samples/KarenL/IR_literal_door.wav,,0,first,4,door,Karen,modal,first,1,Male,Yes,4,21,No
123,4930,audio-button-response,52,394754,0.0-10.0-9.0,14172,group3,yes,prosody_paired_samples/KarenL/literal_IR_phone.wav,,0,second,7,phone,Karen,indirect,first,0,Male,Yes,4,21,No
124,8514,audio-button-response,53,403268,0.0-10.0-10.0,14172,group3,yes,prosody_paired_samples/KarenL/literal_IR_laptop.wav,,1,second,5,laptop,Karen,indirect,second,1,Male,Yes,4,21,No
125,6643,audio-button-response,54,409911,0.0-10.0-11.0,14172,group3,yes,prosody_paired_samples/KarenL/literal_IR_window.wav,,1,second,11,window,Karen,modal,second,1,Male,Yes,4,21,No
126,6194,audio-button-response,55,416105,0.0-11.0-0.0,14172,group3,yes,prosody_paired_samples/MaiyiY/literal_IR_laptop.wav,,1,second,5,laptop,Maiyi,indirect,second,1,Male,Yes,4,21,No
127,7848,audio-button-response,56,423953,0.0-11.0-1.0,14172,group3,yes,prosody_paired_samples/MaiyiY/IR_literal_door.wav,,0,first,4,door,Maiyi,modal,first,1,Male,Yes,4,21,No
128,9435,audio-button-response,57,433389,0.0-11.0-2.0,14172,group3,yes,prosody_paired_samples/MaiyiY/literal_IR_office.wav,,1,second,6,office,Maiyi,indirect,second,1,Male,Yes,4,21,No
129,5041,audio-button-response,58,438431,0.0-11.0-3.0,14172,group3,yes,prosody_paired_samples/MaiyiY/literal_IR_box.wav,,1,second,3,box,Maiyi,modal,second,1,Male,Yes,4,21,No
130,5998,audio-button-response,59,444430,0.0-11.0-4.0,14172,group3,yes,prosody_paired_samples/MaiyiY/literal_IR_car.wav,,1,second,1,car,Maiyi,indirect,second,1,Male,Yes,4,21,No
131,6650,audio-button-response,60,451081,0.0-11.0-5.0,14172,group3,yes,prosody_paired_samples/MaiyiY/IR_literal_piano.wav,,0,first,8,piano,Maiyi,modal,first,1,Male,Yes,4,21,No
132,5101,audio-button-response,61,456184,0.0-11.0-6.0,14172,group3,yes,prosody_paired_samples/MaiyiY/IR_literal_soup.wav,,0,first,9,soup,Maiyi,indirect,first,1,Male,Yes,4,21,No
133,6431,audio-button-response,62,462615,0.0-11.0-7.0,14172,group3,yes,prosody_paired_samples/MaiyiY/IR_literal_temp.wav,,1,first,12,temperature,Maiyi,modal,second,0,Male,Yes,4,21,No
134,5970,audio-button-response,63,468585,0.0-11.0-8.0,14172,group3,yes,prosody_paired_samples/MaiyiY/IR_literal_phone.wav,,1,first,7,phone,Maiyi,indirect,second,0,Male,Yes,4,21,No
135,6040,audio-button-response,64,474625,0.0-11.0-9.0,14172,group3,yes,prosody_paired_samples/MaiyiY/IR_literal_Spanish.wav,,1,first,10,spanish,Maiyi,modal,second,0,Male,Yes,4,21,No
